SL,CATEGORY,Brand,TYPE/FLAVOUR,ORIGINE,SKU,PACK TYPE,CODE,VERSION,DATE,BARCODE,CYLINDER COMPANY,PRINTING COMPANY,,,,,,,,,
0,CONDIMENTS,AAFI, OLIVE PICKLE,EXPORT,400G,GLASS JAR,EAOHP,EAOHPV04,2024-06-11,89411896 06626,,,,,,,,,,,
0,CONDIMENTS,AAFI,GARLIC PICKLE,EXPORT,400G,GLASS JAR,EAGHP,EAGHPV01,,89411896 0664,,,,,,,,,,,
0,CONDIMENTS,AAFI,MIXED PICKLE,EXPORT,400G,GLASS JAR,EAMXHP,EAMXHPV04,2024-06-11,89411896 06664,,,,,,,,,,,
1,GRAINS,AAFI,PUFFED RICE,,200G,PILLOW,EAFRQBX,,,89411896 0307,,,,,,,,,,,
2,GRAINS,AAFI,PUFFED RICE,EXPORT,250G,PILLOW,EAFRQB,EAFRQBV3,2024-01-08,89411896 02819,,,,,,,,,,,
3,GRAINS,AAFI,PUFFED RICE,LOCAL,500G,PILLOW,APRH,APRHV2,2024-10-10,89411896 02826,BANGLA-SHANGHAI PLATE MAKING LTD.,BENGAL PRINTING & PACKAGING,,,,,,,,,
3,CONDIMENTS,HAPPY TIME,STRAWBERRY,,450G,GLASS JAR,HTSJ,HTSJV01,,89411896 06534,,,,,,,,,,,
3,CONDIMENTS,HAPPY TIME,PINEAPPLE,,450G,GLASS JAR,HTPJ,HTPJV01,,89411896 06558,,,,,,,,,,,
3,CONDIMENTS,HAPPY TIME,ORANGE,,450G,GLASS JAR,,HTOJV01,,89411896 06541,,,,,,,,,,,
3,CONDIMENTS,HAPPY TIME,MIXED,,450G,GLASS JAR,,HTMJVO1,,89411896 06565,,,,,,,,,,,
3,CONDIMENTS,HOME MAKERS,MUSTARD OIL,,50ML,PET,HMP50,,,89411896 0385,,,,,,,,,,,
3,CONDIMENTS,HOME MAKERS,MUSTARD OIL,,100ML,PET,HMP100,,,89411896 0386,,,,,,,,,,,
3,CONDIMENTS,HOME MAKERS,MUSTARD OIL,,200ML,PET,HMQP,,,89411896 0382,,,,,,,,,,,
3,CONDIMENTS,HOME MAKERS,MUSTARD OIL,,500ML,PET,HMHP,,,89411896 0383,,,,,,,,,,,
3,CONDIMENTS,HOME MAKERS,MUSTARD OIL,,1000ML,PET,HMOP,,,89411896 0384,,,,,,,,,,,
3,DAIRY,FARM FRESH,GHEE,,100ML,TIN CONTAINER ,FG100,FG100VN02,,89411896 04691,,,,,,,,,,,
3,DAIRY,FARM FRESH,GHEE,,200ML,TIN CONTAINER ,FGQ,FGQVN02,,89411896 04660,,,,,,,,,,,
3,DAIRY,FARM FRESH,GHEE,,450ML,TIN CONTAINER ,FGH,FGHVN02,,89411896 04707,,,,,,,,,,,
3,DAIRY,FARM FRESH,GHEE,,1000G,TIN CONTAINER ,FGB,FGBVN02,,89411896 04684,,,,,,,,,,,
3,DAIRY,FARM FRESH,GHEE,,5KG,TIN CONTAINER ,FG5L,FG5LVN02,,89411896 04653,,,,,,,,,,,
3,DAIRY,SHAKE,KHEER MILKSHAKE,,250ML,PET,SKQP,,,,,,,,,,,,,,
3,DAIRY,SHAKE,VANILA MILKSHAKE,,250ML,PET,SVQP,,,,,,,,,,,,,,
3,DAIRY,SHAKE,CHOCOLATE MILKSHAKE,,250ML,PET,SCQP,,,89411896 0450,,,,,,,,,,,
3,DAIRY,FARM FRESH,UHT ELACHI  FLAVORED MILK,,250ML,PET,FFEQP,,,,,,,,,,,,,,
3,DAIRY,FARM FRESH,UHT CHOCOLATE FLAVORED MILK,,250ML,PET,FCQPT,,,,,,,,,,,,,,
3,DAIRY,FARM FRESH,UHT MANGO FLAVOURED MILK,,250ML,PET,FMQPT,,,,,,,,,,,,,,
3,DAIRY,FARM FRESH,PASTEURIZED FULL CREAM MILK,LOCAL,200ML,POUCH,FPQP,FPQPV03,,89411896 04363,,,,,,,,,,,
3,DAIRY,FARM FRESH,PASTEURIZED FULL CREAM MILK,LOCAL,500ML,POUCH,FPHP,FPHPV03,,89411896 04370,,,,,,,,,,,
3,DAIRY,FARM FRESH,PASTEURIZED FULL CREAM MILK,LOCAL,1000ML,POUCH,FPOP,FPOPV02,,89411896 04387,,,,,,,,,,,
3,DAIRY,FARM FRESH,PASTEURIZED STANDARDIZED MILK,LOCAL,200ML,POLY,FPSQP,FPSQPVN03,,89411896 05094,,,,,,,,,,,
3,DAIRY,FARM FRESH,PASTEURIZED STANDARDIZED MILK,LOCAL,500ML,POLY,FPSHP,FPSHPVN03,,89411896 05117,,,,,,,,,,,
